Week,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,NC,0,0,0,0,0,0,0,0,0,NC
2,NC,0,0,0,0,0,0,0,0,0,0
3,NC,0,0,0,0,0,0,0,0,0,0
4,NC,0,0,0,0,0,0,0,0,0,0
5,NC,0,0,0,0,0,0,0,0,0,0
6,NC,0,0,0,0,0,0,0,0,0,0
7,NC,0,0,0,0,0,0,0,0,0,0
8,NC,0,0,0,0,0,0,0,0,0,0
9,NC,0,0,0,0,0,0,0,0,0,0
10,NC,0,0,0,0,0,0,0,0,0,0
11,NC,0,0,0,0,0,0,0,0,0,0
12,NC,0,0,0,0,0,0,0,0,0,0
13,NC,0,0,0,0,0,0,0,0,0,0
14,NC,0,0,0,0,0,0,0,0,0,0
15,NC,0,0,0,0,0,0,0,0,0,0
16,NC,0,0,0,0,0,0,0,0,0,0
17,NC,0,0,0,0,0,0,0,0,0,0
18,2,6,0,0,0,0,0,0,NC,0,0
19,7,3,0,1,2,2,0,0,3,2,0
20,11,0,10,3,1,0,3,0,3,1,3
21,29,0,6,1,9,3,5,1,4,0,8
22,9,2,6,0,5,4,4,1,0,12,9
23,4,1,5,0,4,0,2,4,NC,6,8
24,47,0,0,0,5,3,3,4,9,0,4
25,2,4,3,1,5,4,15,3,41,4,19
26,2,8,0,2,6,8,5,8,36,3,NC
27,10,20,1,4,2,4,9,30,48,7,21
28,24,34,4,20,8,17,11,4,24,19,22
29,22,48,12,0,2,11,0,40,18,8,7
30,35,11,22,26,18,28,30,76,57,12,14
31,12,167,7,12,3,14,24,60,69,23,20
32,8,22,32,59,1,16,30,92,45,9,45
33,31,35,44,4,12,41,14,61,68,NC,NC
34,43,48,0,12,1,41,11,51,NC,33,108
35,17,10,2,25,3,39,4,111,46,73,94
36,15,5,31,6,12,14,3,28,50,37,138
37,11,7,6,10,11,28,25,21,19,20,75
38,1,21,6,37,22,18,0,13,0,18,91
39,0,0,5,1,39,17,3,30,27,21,45
40,0,5,5,15,63,1,0,30,14,4,57
41,2,0,26,10,39,5,3,56,22,7,35
42,0,0,3,14,0,0,1,22,2,1,0
43,0,2,2,0,5,2,1,1,7,1,5
44,0,1,5,7,9,0,0,5,5,1,2
45,0,1,10,0,11,2,1,2,1,0,0
46,0,0,0,0,15,0,0,0,3,1,0
47,0,0,0,0,0,4,0,0,0,0,1
48,0,0,0,0,0,0,0,0,2,0,0
49,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0